Number,Review date,Review body or description,Rating given by the user,Review title,Reviewer name
199,"April 8, 2021",Fast delivery and excellent price,5.0,Great Selection,Dediea
200,"April 16, 2021",Good purchase for the price and shipping good,5.0,Good items,Fgn
201,"May 8, 2021","Excellent product, packaged well.",5.0,NO TITLE BY USER,William
202,"May 3, 2021",It is alot thinner than before and there is no scrubbing textures,4.0,Not like it was before,Candi
203,"April 8, 2021",Great quality and product!,5.0,NO TITLE BY USER,Hildy
204,"April 29, 2021",What can you say about wipes these make me feel secure when cleaning my home,5.0,Sanitizes To My Satisfaction,likeshrimp
205,"May 22, 2021",Works great. Great price and customer service.,5.0,Lysol makes the best cleaning products,JoAnn
206,"April 1, 2021",Makes cleaning easier and I know it is the cleanest it can be .,5.0,Thorough cleaning satisfaction,tomvilla60
207,"May 29, 2021",So glad these are available again,5.0,NO TITLE BY USER,Norma
208,"May 16, 2021","Great product , do the job. Price fair (?)",5.0,Great product,Gazelle
209,"April 22, 2021",ive used this brand forever disinfect so well,5.0,NO TITLE BY USER,Wanda
210,"March 2, 2021","Perfect! And the delivery was perfect, as well!",5.0,NO TITLE BY USER,Wendy
211,"January 20, 2021",I use it on every thing. Clorox is a name to trust,5.0,NO TITLE BY USER,Christine
212,"January 22, 2021","Love these! I thought I ordered two, but didnt...",5.0,so clean,Annette
213,"March 14, 2021",I really like how the Clorox wipes disinfects and the price is a good deal.,5.0,NO TITLE BY USER,Solseg78
214,"March 25, 2021",Kills germs. Removes dirt and grim.,5.0,NO TITLE BY USER,Jacqueline
215,"January 28, 2021",They do the job but would appreciate them thicker and wetter.,3.0,NO TITLE BY USER,chana
216,"March 8, 2021",be aware of the products may ''leak'' due to the transportation,5.0,NO TITLE BY USER,AC
217,"March 19, 2021",What I like about this product is that its finally available in bulk size yay!!!!!,5.0,Very Satisfied,Nilsa
218,"March 13, 2021",Nice to have on hand for easy cleanup,5.0,NO TITLE BY USER,donthaveone
219,"January 24, 2021",Yeah! So happy to finally be able to get these wipes. Most convenient for wiping down door handles.,5.0,Great for Handles,KC
220,"March 16, 2021",I really like my whips because helps with this virus,5.0,Good item,Benjamin
221,"January 12, 2021",Arrived the next day! Great quality and you will receive every that is shown.,5.0,NO TITLE BY USER,Taneesha
222,"March 24, 2021",Clorox has been a staple in my home a long time.,4.0,NO TITLE BY USER,None
223,"March 24, 2021","wipes worked as expected and appeared as shown on site, thanks!",5.0,NO TITLE BY USER,CheriseR
224,"March 12, 2021","Delivery guy set the box upside down, i had a mess to clean up when I went to unbox these",5.0,Great,MaryAnn
225,"March 6, 2021",Use it too clean almost everything. Good amount for the price.,5.0,NO TITLE BY USER,Kesler
226,"March 13, 2021","I use these on a daily love the fresh lemon scent. I use them in the kitchen, restroom, table etc!!",5.0,Product is amazing!!,Olivia90670
227,"March 22, 2021","Always liked them, always will, everything so clean",5.0,NO TITLE BY USER,roseofsharon55
228,"January 14, 2021","Delivered quick, priced as should be, No hassles, no contamination.",5.0,"Superior, for our circumstances.",Susan
229,"March 27, 2021",These are great for clean up and the smell is not strong,5.0,"Clorox Disinfecting Wipes,",sef3
230,"March 12, 2021",Works just as good as the Lysol wipes,5.0,NO TITLE BY USER,tamara
231,"January 6, 2021","Hard to find item, but worth the wait and search.",5.0,Lucky to Find,stickvacuumuser
232,"January 18, 2021",So glad I could get clorox wipes Thank you Mary P,5.0,Clorox disinfect wipes,None
233,"January 15, 2021",best product for disinfecting and cleaning,5.0,NO TITLE BY USER,Sandi
234,"January 22, 2021",I was disappointed that it did not come in a four pack,3.0,NO TITLE BY USER,Thomas
235,"January 20, 2021",I love it it is my favorite in this time,5.0,NO TITLE BY USER,Zoraya
236,"March 12, 2021",Love this. So thankful that my shipment came! Thank you.,5.0,NO TITLE BY USER,Lan
237,"March 18, 2021","Excellent for wiping down doorknobs, sinks etc and smells good!",5.0,NO TITLE BY USER,Gwen
238,"January 20, 2021","arrived on time but leaking , not bad but it was still wet",4.0,NO TITLE BY USER,gimlet
239,"January 20, 2021",I hate the smell if you used it to wipe your hands,5.0,NO TITLE BY USER,Louise
240,"January 25, 2021",good for removing small stuck on foods with scrubbing fibers,4.0,NO TITLE BY USER,xciting
241,"March 30, 2021",Too expensive for only a 3 pack. Sam's carry it 5 pack for 10.00 and here 10 for only 3,1.0,NO TITLE BY USER,Aisha
242,"March 31, 2021",Great product and perfect for my needs,5.0,Excellent product,Belinda
243,"January 14, 2021",Everything was ok minus the fact that the package was already open .,3.0,NO TITLE BY USER,yvette
244,"January 2, 2021",Awesome shipping! Great product,5.0,Great product,Danyale
245,"January 1, 2021","Was excited when I seen I could get this pack delivered, ahh miss the old days.",5.0,Nice package,Jennifer
246,"March 16, 2021",make cleaning so much easier,5.0,great,swamp
247,"March 8, 2021",I was glad to be able to purchase this hard-to-find product at a reasonable price.,5.0,Clorox Disinfecting Wipes,Gary
248,"March 17, 2021",Clorox is extremely helpful for cleaning and sanitizing. I personally love this product.,5.0,NO TITLE BY USER,Guadalupe
249,"March 24, 2021","Happy finally available again, price did go up a few dollars.",5.0,NO TITLE BY USER,Gazebo
250,"March 22, 2021",Love your availability of all products I want.,5.0,Awesome,PeggyAnn
251,"January 31, 2021",Great price and I was so happy to find Clorox!!,5.0,I got lucky to find these,jcdnyc
252,"March 20, 2021",Love the lemon fresh; I have one in the kitchen and the bathrooms also.,5.0,Nana,pjh1
253,"January 20, 2021",great! so hard to find and i glad i did these are the best,5.0,NO TITLE BY USER,david
254,"January 23, 2021","Thankful to be able to get these and not be price gauged. Arrived quickly, packaged well",5.0,Grateful,Rayna
255,"January 21, 2021",Been waiting forever for these wipes. They did not disappoint.,5.0,Best cleaning product,Hattie
256,"January 15, 2021",Wipes were leaking and the packaging was damaged.,2.0,Horrible when shipped,Angelo
257,"March 4, 2021",Great deal and smell good,5.0,Good price,Dominick
258,"March 30, 2021",Great for cleaning anything,5.0,NO TITLE BY USER,Guadalupe
259,"March 21, 2021",Loved that I could order this,5.0,NO TITLE BY USER,Tamisha
260,"March 29, 2021",Works great to clean everything,5.0,NO TITLE BY USER,Ginny
261,"February 5, 2021",Good cleaning item during this covid-19! Thanks for having in stock!!!,5.0,NO TITLE BY USER,Tanya
262,"March 21, 2021",Very pleased to find this at Walmart. This brand always gives me the peace of mind.,5.0,Good Wipe for the going-on pandemic,SmartValueBuyer
263,"March 7, 2021",Clean you with these Clorox wipes if you get in my way.,5.0,Can't not beat Clorox,Td
264,"January 20, 2021",It came all spill and wet like if the Clorox came out very disappointed,2.0,Packet was damage,yoselin
265,"March 30, 2021",Always loved Clorox products!,5.0,Great,Kristie
266,"January 21, 2021",I prefer these wipes for most of my chores at home and the delivery from Walmart was on time.,5.0,Good!,Zeda
267,"March 10, 2021",The softness and the clean smell,5.0,Good product,tobby
268,"February 1, 2021",So glad to finally be able to get these,5.0,The best wipes,ZEBJ
269,"March 11, 2021","Great, I finally for first time able to receive Clorox wipes since covid",5.0,Great price,Gwen
270,"March 17, 2021","Great wipes, exactly as ordered!",5.0,NO TITLE BY USER,Queenbutterfly
271,"January 21, 2021",Received these wipes in a timely manner. They were a perfect addition to a teachers classroom.,5.0,Great for disinfecting and cleaning.,PearlandMom
272,"January 24, 2021",Good for cleaning and disinfecting!!,5.0,NO TITLE BY USER,Charietta
273,"March 10, 2021",My go to cleaning product,5.0,NO TITLE BY USER,68Unhappy
274,"January 1, 2021","Cleans everything from door knobs to car seats. Kills germs and leaves a good smell, no residue.",5.0,Great,Theodore
275,"February 5, 2021","Clorox wipes are hard to find now a days, so I am very happy that Walmart is selling them online.",5.0,I hope Walmart keeps selling them.,Gale
276,"March 14, 2021",Feel confident in it's disinfectant ability.,5.0,NO TITLE BY USER,4JenniferT
277,"March 25, 2021",I AM FULL OF JOY THE DISINFECTANT WIPES ARE OUT! I WANT TO DO CARTWHEELS RIGHT NOW! LOL!,5.0,"Thank you, thank you, thank you!",Candy
278,"July 10, 2021",This one is actually my favorite. Mine was super moist and wipes very good. I like the clean scent that it has also. I like to keep one in my car to wipe the gas pump handles down and also one in my kitchen to wipe the counter that I cooked anywhere with meat. I would recommend this.,5.0,This one is actually,katherinef70
279,"July 7, 2021","Household staple. It was so hard for me to not be able to find these during the pandemic. I would buy literally anything just so I had something, but nothing is even comparable to REAL Clorox wipes. So glad they are finally back in stock everywhere!!!",5.0,Household staple. It was,cassidyg32
280,"July 5, 2021",These wipes are fabulous ! I tried to stock up best I could beginning of pandemic knowing they would be the best way of disinfecting ! These wipes never fail to impress how long they last how much use and sturdy just one wipe is ! Definitely will continue to buy !,5.0,These wipes are fabulous,lisae64
281,"July 10, 2021",I absolutely love these for a quick cleanup. I find using individual wipes to be more sanitary than reusing a rag. I wish they made wipes specifically for cleaning wood though. Great product for the price because it takes the place of several cleaning products I would use on hard non porous surfaces. These are definitely a regular on my shopping list.,5.0,I absolutely love these,brittanyy21
282,"July 14, 2021",The Clorox Disinfecting Wipes help to maintain the bathroom and the kitchen very clean .I used it every day for the lid of the toilet and I like very much.,5.0,The Clorox Disinfecting Wipes,maribelg42
283,"July 10, 2021",Good for the house it keeps baby an family from getting sick are catch bacteria form the house an kep germ away . texting the product form at the house,4.0,Good for the house,lizziem37
284,"July 7, 2021",These are the BOMB!! I use Clorox wipes on virtually everything. I keep 3 or 4 of these stocked in the pantry at all times. Cleans just about anything you need to have cleaned and leaves it germ free.,5.0,These are the BOMB!!,chadr2
285,"July 4, 2021",I love this product. Having a baby there is always a mess to clean up and being able to grab a wipe that kills germs instead of getting out a spray and having to get paper towels while holding a newborn really makes it easy. Love love love these,5.0,I love this product.,carab50
286,"May 3, 2021","[This review was collected as part of a promotion.] Where are my original Clorox Wipes? Not the kind that are 'disinfecting wipes'; that is peroxide and that does not clean the way I like. I know, I know. It SAYS that it kills COVID-19. I don't care. I simply want to clean my kitchen and my bathrooms.
I have used and currently use a LOT of Clorox products. Just bring back the Wipes and get rid of the imitations.",1.0,I Hate This New Product,I have no nickname
287,"January 19, 2021",These are good at disinfecting but I can't stand the smell. It's so strong! They're also messy when you get to the bottom of the container because those wipes are soaked in the solution and drip everywhere. I don't like getting that stuff on my hands. I much prefer using the spray kind.,3.0,These are good at,sexypea48
288,"February 2, 2021",These are great when you can find them. I never knew I'd miss something as much as I have Clorox wipes. I love these for everything from cleaning up the kitchen after cooking to cleaning light switches and door knobs to toilet seats. I'll be so glad when they are easy to find again. Others on the market do not match up to Clorox.,5.0,These are great when,sabrinagc736
289,"February 17, 2021","These Are of course the go to for easy sanitizing, quick clean up of anything. I always have to have these in my home. I don't always buy this exact scent anymore now since they have come out with some different ones, but just these wipes in general are always a must. Especially with this virus now and if you have kids. I like to keep a small pack in my car too. The only reason Im giving it 4 stars is because of that annoying packaging on the big pack. Sometimes you go to pull out one and it's like a zillion come out with it. Other than that very minor issue, no complaints.",4.0,These Are of course,alimweber_
290,"February 18, 2021",Must have always ! Especially nowadays where there's just even more germs and nasty stuff out there. these are super easy to use I just love them I just grab one and wipe I don't have to worry about spraying I don't have to worry about anything else and I also like to carry one in my car just in case I need it and they don't dry out they stay wet and moisturized which I love,5.0,Must have always !,ferrnandalala
291,"February 4, 2021","If you don't have this in your life, you are truly missing an essential product. Works perfect on everything especially during covid. I've been using this product for years and it still amazes me. Keeps everything clean and kills viruses and bacteria.",5.0,If you don't have,jonsh
292,"March 12, 2021",I love using my Clorox wipes. I use them in my kitchen and my bathroom. They clean everything and I love the lemon scent. I even will wipe up my tile floors in my bathroom in between mopping. Buy and use them all the time scentiva clorox disinfecting wipes,5.0,I love using my,fairskinnedblonde
293,"January 6, 2021","Whoever knew that three year of 2019 would be the year of Clorox wipes, sanitizer and toilet paper. When I find these in stores nowadays it's like striking gold. I love these just to give everything a solid clean. You know these do the job and get rid of the germs.",5.0,Whoever knew that three,megvish
294,"February 4, 2021","In this Covid world, we go through these so quickly! They smell good, work, and don't burn my hands even if I use for awhile on various high touch surfaces. As a mom, I feel better using these knowing my house is as germ free as possible. We also sanitize our groceries with these...lol",5.0,"In this Covid world,",kimberlywestlundreev
295,"January 1, 2021","I love these wipes, I use them to wipe down almost everything surface wise in my kitchen and on door knobs, the bathroom sinks, i even have a travel sized pack in my purse because, ya know, coronavirus! And they smell okay, much better than the plain ones.",5.0,"I love these wipes,",heathers27
296,"January 23, 2021",Cloris wipes come in different varieties of size and smells I always feel like I can use these to disinfect after chicken or something was on my counters and feel like they did what they say they do! I recommend for disinfecting and they smell good too,5.0,Cloris wipes come in,ashleyp397
297,"March 24, 2021","I use these to wipe everything down everyday and the smell is amazing and they are long lasting I highly recommend to use these to stop the spread of virus and other germs that need to be gone so these at 100% effective and I do buy them everytime I run out CPC BLYSOW Lysol Disinfecting Wipes Lemon 75-Wipe Scent, Case of 6",5.0,I use these to,katlynnshawnp
298,"January 31, 2021","This is the best product and sometimes the only product I use to clean. I use this in the bathroom, kitchen and to wipe down surfaces touched a lot. I wouldn't change anything about it. I will continue to use this product for as long as I can, and as long as I can find it",5.0,This is the best,brittanywa184
299,"January 31, 2021","Counters, toys, bathroom counters, pantry shelving, and sinks! You name it we've wiped it with these wipes! Especially with this COVID pandemic, we wipes every chance we get. These wipes helps us feel and stay clean also the facet that the cnnister is so easy to pop open and pop shut helps a great deal.",5.0,"Counters, toys, bathroom counters,",WalmartCustomer
300,"January 3, 2021","What can I say, when there's a potentially killer virus looming you go with the trusted name. And when you're lazy you go with wipes. These don't dry out in the canister and they hold the product instead of the other drippy brands. Luckily I was on auto ship before the hoarding started so my stash lasted a long time. This also doesn't dry out your hands.",5.0,"What can I say,",annemarieok
301,"February 2, 2021",I love using this for small spills in the kitchen. I also use it to clean my bathrooms. I love the scent and it is tough. There isn't anything I would do to improve it. It is a good value for the price. I have bought this before and I will buy it again in the future.,5.0,I love using this,amberw4
302,"January 31, 2021",Clorox wipes are a well-known brand with a decent price. They clean and disinfect surfaces like nobody's business. I use them on mostly all of the surfaces in my household. I like that they're in a handy container easy for storage.￼￼￼￼ I Do not know what I would do without them right now during this Pandemic. I would recommend these Clorox Disinfecting wipes to others. I will continue to purchase them to fight germs in my house.￼,5.0,Clorox wipes are a,caliana
303,"January 11, 2021","These are my favorite quick and easy product to always have on hand. At home I love to use them for wiping down the sides, back and seat of my child's high chair and door handles. I always have some in the car for sanitizing carts before walking into a store.",5.0,These are my favorite,heatherm401
304,"January 27, 2021",Clorox Disinfecting Wipes with bleach works very good for cleaning small areas after your kids eat on the tabel or after you spill a drink. One or two whipes should be enough to make it clean and disinfect the area. Since the virus is going around it's good to have these on handy to also whipe your sternwheel off with or etc. I recommend Clorox whipes.,5.0,Clorox Disinfecting Wipes with,taylormarie1517
305,"February 6, 2021","Growing up, we never had Clorox wipes in my house. I'm not sure why. It wasn't until I started teaching that I really started to use them, and I'll never go back. You think something looks clean, then you use one of these, and the amount of dirt them comes off on it is mind blowing",5.0,"Growing up, we never",brianadarlenemua
306,"January 24, 2021",This products smells great and gives Pierce of mine to dirty surfaces. We also have some in the car to wipe down the shipping cart before putting the littles under it. [product:2-pack-lysol-dual-action-disinfectant-wipes-lemon-&-lime-blossom-80-wipes-each],5.0,This products smells great,stephany0528
307,"January 7, 2021","My favorite go to cleaning product because I can use on almost every surface! They don't have a nasty smell and get things super clean and germ free. I can use in my kitchen counter, sinks around bathroom tubs, on the toilets, on walls, doors; overall they are life savers you don't have to spray something that's dangerous for pets or children but you can clean every surface and it looks sparkly clean.",5.0,My favorite go to,heyitsbritt
308,"January 12, 2021","These are sometimes hard to find being that we are still pushing through this pandemic. When I do find them, I am happy because these are very efficient and easy to use. I can wipe down counters and doorknobs etc and throw away! The smell is clean, not overwhelming. Thanks Clorox!",5.0,These are sometimes hard,lizh217
309,"July 11, 2021",Best wipes. It cleans and disinfects. It also picks up my cats hairs from the counters. This is my go to disinfecting wipes. Also they don't dry out!,5.0,Best wipes. It cleans,zuhraa_x
310,"July 18, 2021",These Clorox wipes don't have a good sent but they do clean object really good.These wipes stay wet for a while so you can clean multiple surfaces.,5.0,These Clorox wipes don't,lilyc85
311,"July 6, 2021",Would be great for all and any messes with satisfaction of knowing ur going to be germ free to I probably over use them but I hate germs,5.0,Would be great for,katier203
312,"July 10, 2021",Love the scent and how clean my counters are. I feel safe using it. Price is right for quantity of wipes.,5.0,Love the scent and,mariap678
313,"April 30, 2021",[This review was collected as part of a promotion.] I bought these last week and LOVE them. I have 3 boys and these are very handy. I use them in my bathrooms daily.,5.0,Love these wipes,C Cochran
314,"June 28, 2021",[This review was collected as part of a promotion.] Clorox is the only way to get the job done right the first time!!,5.0,Great,old2thumbs
315,"February 5, 2021",We love to use these to keep kitchen as well as bathroom counters clean especially with this pandemic. Clorox Disinfecting Wipes Bleach Free Cleaning Wipes - Crisp Lemon - 75ct,5.0,We love to use,thatgrlsteph
316,"March 11, 2021","I really like these bleach free wipes. They clean just as well without the harsh smell. These are the only wipes I will use, so I stock up when I can.",5.0,I really like these,tee_lo
317,"February 4, 2021",These are my go to for cleaning up quickly & just wiping down any areas especially the kitchen counters & stove top I feel like they smell great & make it seem clean I've bought them many times & I'll continue to buy them,5.0,These are my go,ashleyb66c8
318,"February 2, 2021",I've used these all throughout the pandemic. I don't know what I would do with out them! They are very moist and will clean any surface with out a doubt.,4.0,I've used these all,sarahm777
319,"February 7, 2021",I love using these wipes to clean with! They make it so easy to clean with even having a rough side. The only downside of these wipes is they leave some bubble residue behind and dirt when they get dirty.,4.0,I love using these,WalmartCustomer
320,"January 27, 2021","During this pandemic i have been using these to clean everything from my surfaces,groceries, keys,and shoes they do the job well and I feel better about my family's health and safety",5.0,During this pandemic i,lizrulez
321,"January 19, 2021",I love Clorox disinfecting wipes. I use them in my bathroom so I can just throw them away and don't have to worry about washing dirty rags. It keeps everything clean and smelling nice.,5.0,I love Clorox disinfecting,lisam337
322,"January 30, 2021",I am OCD clean and I love my house to smell fresh and clean and these Clorox wipes make me feel safe especially with Covid right now. They clean very well and sanitize just as well,4.0,I am OCD clean,adrianap111
323,"March 24, 2021",Wonderful product! I use these wipes daily to disinfect things within my home and in my classroom. They smell nice and the chemicals are not overpowering when cleaning around children.,5.0,Wonderful product! I use,amym370
324,"January 1, 2021",Super awesome@to have around the house especially how this year has been. My only con is that one wipe doesn't get you that far but I always buy these when they're available at the store.,4.0,Super awesome@to have around,amandab439
325,"January 19, 2021","I use at home, at the office and in the car. I have even used on my phone case! They are convenient and cost effective when purchased in a multi pack",4.0,"I use at home,",balee
326,"January 21, 2021","Especially in times like these Clorox wipes are essentially. The only thing is it may be hard to actually get them to the demand being so high. However, they work wonders!",5.0,Especially in times like,ashantig1
327,"January 19, 2021",These wipes are very easy to use and keeps everything clean! I use it for the kitchen and high traffic areas to keep things disinfected. Very useful during these COVID times,5.0,These wipes are very,joohee
328,"January 24, 2021","These cleansing wipes are so handy! One step instead of having to find a spray cleanser, grab paper towels, and lots of waste. These wipes clean well and don't leave any residue.",5.0,These cleansing wipes are,angelal6b66
329,"February 4, 2021",Who can have anything bad to say about Clorox wipes when they were once so hard to find? I love using these as I am pregnant and can not clean with strong bleach products. My go to for the bathroom and kitchen messes!,4.0,Who can have anything,sam_veri5513
330,"January 19, 2021","How do you even live without these? They are easy for my kids to clean with and they disinfect, so it is a win win!! I panic whenever we run out... Clorox Disinfecting Wipes Bleach Free Cleaning Wipes - Crisp Lemon - 75ct",5.0,How do you even,aprils114
331,"February 7, 2021","These were possibly literally a lifesaver during the pandemic. When stores were out of stock I had my mom send me some in the mail. Great to wipe off all surfaces in the house, and your phone!",5.0,These were possibly literally,peaceheart
332,"January 20, 2021","Love these wipes! I use them throughout my kitchen, they're especially great for cleanup after a little one leaves sticky handprints on the cabinets! I love the scent and I love how well they get everything off!",5.0,Love these wipes! I,dgraf
333,"January 9, 2021",Nice to wipe things down. Quick and easy to use. I grab a couple to wipe down door handles around the house fairly frequently to prevent getting Covid.,5.0,Nice to wipe things,tracyb68
334,"January 16, 2021",I love these wipes. They are an absolute staple for any house. They are super effective and do their job very well. I wish the packaging was a little bit more convenient as sometimes they get bunched up. Will definitely buy again.,5.0,I love these wipes.,mwllr
335,"January 27, 2021",Favorite disinfectant wipes. Makes my house feel clean for quick everyday wipe ups. Good pricing. Good amount in each container. All around- just good.,5.0,Favorite disinfectant wipes. Makes,poutypuffgirl
336,"January 22, 2021","Always a go to, leaves my surfaces feeling and smelling very fresh and clean. A reliable product that occasionally picks up stains or dirt while also disinfecting. Definitely a need right now for everyone",5.0,"Always a go to,",maddyk20
337,"January 23, 2021",These always maintain a good level of moisture without drying out quickly like other brands. It leaves a pleasant scent. My one piece of feedback would be to try and make a version that's more eco friendly.,4.0,These always maintain a,ke55f7
338,"January 8, 2021",I love the convenience of a disinfectant wipe! It just helps keeping things clean after a long day a little easier. I love wiping down my kitchen and bathroom counters with these wipes in between cleanings.,5.0,I love the convenience,1aurenmac
339,"January 21, 2021","I used this product to clean and disinfect countertops and other areas that need to be cleaned. The product is one of my favorites and the smell is not too strong. The wipes clean everything very well, especially with covid still around.",5.0,I used this product,lorenamb1f5
340,"January 18, 2021",Our household definitely uses these on an everyday basis. It's super easy to clean bathrooms and counter tops with these wipes. You can clean surface with 1 cloth and it holds its quality. We couldn't live without these!,5.0,Our household definitely uses,styleitbynlc
341,"February 8, 2021",Great clean. Great smell. Trusted brand. I love these are so easy to use. I keep one in the kitchen and in each bathroom. Deep clean feel without the deep clean effort.,5.0,Great clean. Great smell.,marcyac245
342,"January 23, 2021","These are my go-to disinfecting wipes. I not only use these at home, but I also use them in my classroom. I feel confident about their ability to eliminate bacteria, which is a sigh of relief during the pandemic.",5.0,These are my go-to,britneyr29
343,"February 7, 2021",This is my favorite brand of disinfectant wipes. They can be a bit pricey but I've tried other products and they just dont measure up to the Clorox brand.,5.0,This is my favorite,michellec0309
344,"January 24, 2021","I love these wipes for big messes and little messes! They are especially great to have a round during this pandemic. I would absolutely recommend if you dont use these, to start!",5.0,I love these wipes,jessesamantham
345,"February 5, 2021",Who doesn't love Clorox wipes for a quick & easy disinfectant? Especially during recent times. I use these the most in my bathroom and kitchen to clean surfaces and disinfect thoroughly! I like the lemon scented ones but they all do the trick.,5.0,Who doesn't love Clorox,kayleneg2
346,"February 5, 2021","I use basically all of Clorox's disinfectant products and more! These wipes smell amazing & are easy to use! Clean your house, toys, car, and so much more!",5.0,I use basically all,alexandriaj13
347,"January 16, 2021","This product is truly wonderful I love it it's very very great and cleans so well , which I love and they are all just wonderful it's a yes it's a yes yes yes totally recommend will not regret it and it's amazing. You won't regret buying it!",5.0,This product is truly,rocioc29
348,"February 6, 2021","These work really well for quick disinfecting needs, and they're super convenient to have in every room. We even keep some in the car for those times you need them when you're out and about.",5.0,These work really well,kristaf17
349,"January 23, 2021",Clorox disinfecting wipes is a must have in my hope. A quick easy clean and disinfect. The lemon smell is amazing. When they in stock I definitely grab.,5.0,Clorox disinfecting wipes is,melissaw211
350,"February 4, 2021",I love using Clorox wipes especially in the bathroom it feels like does such a thorough job and you can really see results. I previously used different products to clean with and I never got as good as clean as I have with this product.,5.0,I love using Clorox,sarikas
351,"January 11, 2021","Every single time we see them on the shelves we buy them. In the life of covid, carrying the wipes around make me feel cleaner in public. I can focus on disinfecting surfaces myself to protect myself and my family in social situations.",5.0,Every single time we,WalmartCustomer
352,"February 5, 2021","A must with the global pandemic that is COVID 19. It is, of course, hard to come by. One of the very few products that accuracy kill COVID 19. I need it and I love it!!!",5.0,A must with the,latinachikas
353,"February 5, 2021",I love to use this to clean up any quick messes. This is my go-to disinfectant wipe. I definitely recommend this product,5.0,I love to use,nativenycfoodie
354,"January 27, 2021",Best cleaning wips a girl could ask for .they get the job done just right for just wiping your night stands off,5.0,Best cleaning wips a,makeyaw
355,"February 17, 2021",I use these everyday & they never disappoint. Great for quick clean up & I love this scent. One sheet goes a long way.,5.0,I use these everyday,shayeee
356,"January 27, 2021","I trust Clorox wipes to disinfect the house, door knobs, keys and other things that could bring germs into our house. The fresh scent is appealing.",5.0,I trust Clorox wipes,melanieheintz
357,"January 11, 2021",Works great and smells clean. I buy multiples to keep in the house/car/work etc. Good disinfectant that I completely trust.,4.0,Works great and smells,owingslr
358,"January 23, 2021",As a teacher I use these daily. They are effective in killing germs and avoiding the spread of germs. It has a strong smell but not overpowering.,5.0,As a teacher I,kellierca47
359,"February 16, 2021",These were so hard to get ahold of during the lockdown but I'm so glad I got them back in stock. Easy to clean with,5.0,These were so hard,ashleyxkim
360,"January 11, 2021",We use these at work constantly. I don't feel like many people realize though that the chemicals take about 90 seconds before it works,3.0,We use these at,rachelchloe
361,"February 16, 2021","The best product to cleaning up quick, I use it for many things such as cleaning any surface. They clean very well and the smell is excellent!",5.0,The best product to,patricial90
362,"February 7, 2021",So convenient for easy clean ups! I always love having Clorox wipes in the kitchen to clean up the counters or wipe down my daughters high chair!,5.0,So convenient for easy,gabriellam56
363,"February 5, 2021","Love the scent and ease of use. Don't always care for the price. Hard to find since Covid started, but definitely grab my allowance when I do!",5.0,Love the scent and,WalmartCustomer
364,"January 17, 2021",It dries off quickly and has strong smell which I couldn't bare . But cleans and disinfects very well,3.0,It dries off quickly,jananik1
365,"January 3, 2021",This is an average disinfecting wipe. Thin and not very durable. I buy the off brand to save myself a bit.,4.0,This is an average,kimberlyn52
366,"February 7, 2021","These have been great to keep on hand if we can stock up on them through the pandemic. We wiped down countertops, door handles, you name it.",5.0,These have been great,darcyl6
367,"March 19, 2021","Very nice product....good for disinfection surfaces at home, I have one in my home and my office. I highly recommend",4.0,Very nice product....good for,franklinmullar
368,"March 17, 2021",These are portable and easy to use. They smell great and are great for disinfecting surfaces on the go.,5.0,These are portable and,mayurip5
369,"February 5, 2021",I use Clorox wipes to clean surface areas that need a little extra protection. The fresh lemon scent is an added plus.,5.0,I use Clorox wipes,littleprincess
370,"February 17, 2021",Easy to use. The smell is fresh. More cost effective than competitors yet feel there is no compromise in quality.,4.0,Easy to use. The,shereens11
371,"February 16, 2021",I really love clorox wipes they clean very well and the smell is excellent. I pretty much clean my whole house with them that how much I love them...,5.0,I really love clorox,faithferrissigler
372,"January 28, 2021",So convenient for messes and general cleaning especially when you are in a hurry. I always try to keep some on hand,5.0,So convenient for messes,tracyb75
373,"January 28, 2021",Works good but very hard to find with covid 19 . Use it for everything though bathroom and kitchen especially,3.0,Works good but very,courtneyc215
374,"January 31, 2021",I love wipes. They're the greatest invention. They work at home or work. Easy to use. I love to use them to clean a spot or to just clean up.,5.0,I love wipes. They're,rachelt0825
375,"January 23, 2021","These work great for any cleans Jos, after lunch or cleaning up a messy kitchen ! Or even just to sa atize a surface !",5.0,These work great for,carolinar0d2d
376,"February 7, 2021","I love this clorox wipes , I have a Airbnb and this is perfect to clean it everything also I use in my own house",5.0,I love this clorox,aritzabela
377,"February 10, 2021","I use these for almost everything! Door knobs, countertops, toilets everything￼￼. These get sold out so fast that's how good they are",5.0,I use these for,priscilaz3
378,"January 29, 2021","I literally use these clocks wipes to clean everything , my counter tops , my dining room table , my phone . I can not live with out clod wipes !",4.0,I literally use these,jamieg89
379,"January 19, 2021","Simply the Best... no more, no less. Since COVID struck I've been using what I can find. Most stores now have a lot of off brands.",5.0,Simply the Best... no,sandyp46
380,"January 31, 2021",These disinfecting wipes clean surfaces well and leave you confident that the germs are gone after use.,5.0,These disinfecting wipes clean,valeriew32
381,"January 20, 2021",I have at least three of these In my home at a time. I use this when I clean and disinfect as much as I can I think this product is amazing.,5.0,I have at least,mchristinam
382,"January 29, 2021","they smell super good and I trust that it disinfects my places after using it, I recommend in the kitchen because of the bacteria",5.0,they smell super good,rociom119
383,"January 19, 2021",These work great I use them a lot to clean my bathroom they leave a great shine but the bleach smell is so strong in them,5.0,These work great I,ninasbeautyfl
